material,Channel,Band,Recording,r,p,rob_r,q,rob_p,rob_q
Maps,AF3,Delta,Eyes Open,0.1799897225377257,0.21101718239430356,0.11119290461589107,0.6855444210170548,0.44203910482780073,0.997627611925373
Maps,AF3,Theta,Eyes Open,0.12246811565416518,0.3968428829867203,0.09733464058279485,0.5555800361814084,0.501296482532171,0.8421207564568873
Maps,AF3,Alpha,Eyes Open,0.2178409020963306,0.128580362299975,0.14470552138780537,0.20001389691107221,0.316038462295651,0.49161538579323494
Maps,AF3,Low Beta,Eyes Open,0.25526749620979644,0.07359384446488096,0.2487295686054001,0.20606276450166666,0.08154551826680906,0.24608667844425922
Maps,AF3,Upper Beta,Eyes Open,0.3830389089590302,0.0060407473892927655,0.38938567895929166,0.02114261586252468,0.005190356532506068,0.029374548001164125
Maps,AF3,High Beta,Eyes Open,0.2788759647414696,0.04985856978771814,0.33620949031205116,0.13967922074590597,0.01697820100837403,0.059423703529309105
Maps,AF3,Gamma,Eyes Open,0.235604100015953,0.09953464696450856,0.28681246852675624,0.44705306957202434,0.04344352148397101,0.20273643359186472
Maps,AF4,Delta,Eyes Open,0.1405687930321725,0.3302170721432709,0.09753928406198144,0.6855444210170548,0.5003928107630886,0.997627611925373
Maps,AF4,Theta,Eyes Open,0.13579385952017034,0.3470706703106946,0.15798438445793417,0.5398877093721917,0.2731828544423515,0.8421207564568873
Maps,AF4,Alpha,Eyes Open,0.24747406297435512,0.08314702352660745,0.18545607191132282,0.18433875669937136,0.19725100410194887,0.3911392253376493
Maps,AF4,Low Beta,Eyes Open,0.30075304676617554,0.03381564391970137,0.2731486571225004,0.20606276450166666,0.054949605389631805,0.24608667844425922
Maps,AF4,Upper Beta,Eyes Open,0.3833524063156211,0.005996053586060676,0.40334265922689677,0.02114261586252468,0.0036793406230313194,0.029374548001164125
Maps,AF4,High Beta,Eyes Open,0.3148721610802177,0.025936875549068986,0.41734911571964534,0.13967922074590597,0.0025665684503689465,0.035931958305165254
Maps,AF4,Gamma,Eyes Open,0.2559568285818908,0.07279255682638207,0.29981202197270157,0.44705306957202434,0.03440447792565046,0.20273643359186472
Maps,F3,Delta,Eyes Open,0.06453268232093994,0.6561477249264015,-0.1813787096761767,0.706620626843817,0.20745714353534606,0.9681333364982817
Maps,F3,Theta,Eyes Open,0.24595202075120554,0.08512148775984797,0.010920601956768528,0.4411954727856233,0.9400003776793961,0.9749873880700598
Maps,F3,Alpha,Eyes Open,0.23176548380942008,0.10533643239964077,0.11088938020363844,0.18433875669937136,0.4432938743282213,0.6206114240595098
Maps,F3,Low Beta,Eyes Open,0.2213966604658814,0.12230764498706219,0.13302659519462634,0.24372681066578233,0.35707619904464427,0.4121667060698563
Maps,F3,Upper Beta,Eyes Open,0.32554796812999126,0.021055595086889495,0.2916080200434099,0.036847291402056614,0.03990604684889113,0.06983558198555948
Maps,F3,High Beta,Eyes Open,0.21908196590032056,0.12636407908375052,0.1366259600092114,0.25272815816750105,0.34409619242669054,0.43794060854306066
Maps,F3,Gamma,Eyes Open,0.12578468694193473,0.38408182290389914,0.09873340582849234,0.6619113099793607,0.4951364968640184,0.6931910956096257
Maps,F4,Delta,Eyes Open,0.10266481376716619,0.4780350225910901,-0.04369195151987944,0.6855444210170548,0.7632021717990872,0.997627611925373
Maps,F4,Theta,Eyes Open,0.2358909531590826,0.09911120832443324,0.1796635664618004,0.4411954727856233,0.21185930069321562,0.8421207564568873
Maps,F4,Alpha,Eyes Open,0.24835847169694597,0.08201634026629881,0.20612490234503206,0.18433875669937136,0.15096475387072805,0.35225109236503216
Maps,F4,Low Beta,Eyes Open,0.2646843175877768,0.06323377208038228,0.23477729012615522,0.20606276450166666,0.1007629641213471,0.24608667844425922
Maps,F4,Upper Beta,Eyes Open,0.3378039447507297,0.01643029687295938,0.3384576456560388,0.03427163717465861,0.01621005145216285,0.03782345338837998
Maps,F4,High Beta,Eyes Open,0.29371273963778366,0.03843002954614846,0.3549724766067465,0.13967922074590597,0.011421912005429765,0.05330225602533891
Maps,F4,Gamma,Eyes Open,0.20441065002049633,0.15446724057835323,0.19081787528093713,0.44705306957202434,0.18437863961256112,0.6084153907226203
Maps,F7,Delta,Eyes Open,0.2327771564221657,0.10378274131341719,0.1438704240220017,0.6855444210170548,0.31886909985366174,0.997627611925373
Maps,F7,Theta,Eyes Open,0.14829026906512008,0.30406973858174396,0.05162238890815552,0.5398877093721917,0.7218177912487606,0.8421207564568873
Maps,F7,Alpha,Eyes Open,0.24651153993544292,0.08439143000698986,0.17524199818998443,0.18433875669937136,0.223508128764371,0.3911392253376493
Maps,F7,Low Beta,Eyes Open,0.28053135114259004,0.04846065944738094,0.15081705605853338,0.20606276450166666,0.29581089296155866,0.3906431238916034
Maps,F7,Upper Beta,Eyes Open,0.4283284601857124,0.0019144330104557473,0.35729841580616883,0.01340103107319023,0.010856754503824223,0.030398912610707825
Maps,F7,High Beta,Eyes Open,0.2788445213670333,0.04988543598068071,0.19025351320240183,0.13967922074590597,0.18570444488445598,0.37140888976891195
Maps,F7,Gamma,Eyes Open,0.20192010223191897,0.15966181056143727,0.11890910741866118,0.44705306957202434,0.4108085038572904,0.6931910956096257
Maps,F8,Delta,Eyes Open,0.07099755014359145,0.6241694162036218,0.030356914932295885,0.706620626843817,0.8342337984862789,0.997627611925373
Maps,F8,Theta,Eyes Open,0.1745151184464789,0.22546477001173593,0.06207907655664899,0.5260844633607172,0.6684500657685553,0.8421207564568873
Maps,F8,Alpha,Eyes Open,0.2874234006225082,0.04297909011968911,0.2413318508708459,0.18433875669937136,0.09134040519697974,0.35225109236503216
Maps,F8,Low Beta,Eyes Open,0.24179909217057366,0.09069585303381494,0.24032010153857816,0.21162365707890154,0.09274831340845052,0.24608667844425922
