Subject	subj	gender	age	material	alpha	coeff
A153	153			Swahili	0.350747368	2.16
A154	154			Swahili	0.19214	3.703296703
A155	155			Swahili	0.3009	2.470355731
A156	156			Swahili	0.281888	3.191176471
A157	157			Swahili	0.2636	2.981818182
A158	158			Swahili	0.2842	2.217391304
A159	159			Swahili	0.339109091	2.34
A160	160			Swahili	0.349586667	1.883076923
A161	161	Male	20	Swahili	0.292657143	2.296442688
A162	162	Female	18	Swahili	0.296716	3.080701754
A163	163	Female	18	Swahili	0.306786364	2.156923077
A164	164	Male	18	Swahili	0.373046154	1.423076923
A166	165	Female	18	Swahili	0.3852	1.716923077
A167	166	Female	18	Swahili	0.193388	5.145454545
A168	167	Male	19	Swahili	0.278508	4.263736264
A169	168	Female	19	Swahili	0.276116	2.838235294
A170	169	Female	18	Swahili	0.309882609	2.156923077
A171	170	Male	19	Swahili	0.284942105	1.993846154
A172	172	Male	18	Swahili	0.255416	3.385714286
A173	173	Female	19	Swahili	0.28646	2.911764706
A174	174	Female	18	Swahili	0.279672	3.235294118
A175	175	Female	18	Swahili	0.180772	3.912087912
A176	176	Male	21	Swahili	0.316304545	2.47826087
A178	178	Female	18	Swahili	0.231088	3.607142857
A179	179	Female	22	Swahili	0.365345455	1.1
A180	180	Female	19	Swahili	0.294232	2.862745098
A181	181	Male	19	Swahili	0.166128	4.872727273
A182	182	Male	18	Swahili	0.19736	5.145454545
A183	183	Female	18	Swahili	0.357455	2.053846154
A184	184	Male	19	Swahili	0.334983333	1.763076923
A185	185	Male	19	Swahili	0.302619048	2.144615385
A186	186	Female	19	Swahili	0.26786	3.105263158
A187	187	Male	20	Swahili	0.121948	4.963636364
A188	188	Male	19	Swahili	0.151176	3.879120879
A189	189	Female	18	Swahili	0.278472	2.314229249
A190	190	Female	18	Swahili	0.339611111	2.129230769
A191	191	Female	19	Swahili	0.274272	2.709090909
A192	192	Female	20	Swahili	0.261508	3.421428571
A193	193	Male	19	Swahili	0.352263158	1.753846154
A194	194	Female	19	Swahili	0.323044	2.870175439
A195	195	Female	19	Swahili	0.30206	2.535064935
A196	196	Male	20	Swahili	0.3086	2.115384615
A197	197	Female	19	Swahili	0.321234783	2.175384615
A198	198	Male	19	Swahili	0.289419048	2.164615385
A199	199	Female	18	Swahili	0.192788	4.417582418
A200	200	Female	19	Swahili	0.3495	1.486153846
A201	201	Female	20	Swahili	0.161628	4.890909091
A202	202	Female	19	Swahili	0.317664	3.56043956
A204	204	Female	20	Swahili	0.290768	2.732467532
A205	205	Female	18	Swahili	0.296264	2.507905138
A153	153			US Maps	0.295778261	2.306324111
A154	154			US Maps	0.323994118	1.901538462
A155	155			US Maps	0.3582	1.744615385
A156	156			US Maps	0.334647059	1.666153846
A157	157			US Maps	0.300836	3.035087719
A158	158			US Maps	0.234868	2.571428571
A159	159			US Maps	0.312385714	2.235384615
A160	160			US Maps	0.4356375	0.869230769
A161	161	Male	20	US Maps	0.305610526	1.892307692
A162	162	Female	18	US Maps	0.301722222	1.707692308
A163	163	Female	18	US Maps	0.380890909	1.286153846
A164	164	Male	18	US Maps	0.400525	1.218461538
A166	165	Female	18	US Maps	0.470088889	1.046153846
A167	166	Female	18	US Maps	0.28918	2
A168	167	Male	19	US Maps	0.351814286	2.083076923
A169	168	Female	19	US Maps	0.34734375	1.510769231
A170	169	Female	18	US Maps	0.31932	1.96
A171	170	Male	19	US Maps	0.303335714	1.32
A172	172	Male	18	US Maps	0.315258824	1.603076923
A173	173	Female	19	US Maps	0.302945455	2.3
A174	174	Female	18	US Maps	0.35224	1.626153846
A175	175	Female	18	US Maps	0.222264	4
A176	176	Male	21	US Maps	0.35638	1.449230769
A178	178	Female	18	US Maps	0.313057143	1.9
A179	179	Female	22	US Maps	0.363272727	1.272307692
A180	180	Female	19	US Maps	0.36544	1.595384615
A181	181	Male	19	US Maps	0.354305882	1.8
A182	182	Male	18	US Maps	0.319126087	2.448616601
A183	183	Female	18	US Maps	0.36553125	1.466153846
A184	184	Male	19	US Maps	0.4085	0.647692308
A185	185	Male	19	US Maps	0.382072727	1.298461538
A186	186	Female	19	US Maps	0.372018182	1.064615385
A187	187	Male	20	US Maps	0.212012	3.578571429
A188	188	Male	19	US Maps	0.286271429	2.055384615
A189	189	Female	18	US Maps	0.319464706	1.730769231
A190	190	Female	18	US Maps	0.356966667	1.283076923
A191	191	Female	19	US Maps	0.327772222	2.035384615
A192	192	Female	20	US Maps	0.368807143	1.42
A193	193	Male	19	US Maps	0.34386	1.546153846
A194	194	Female	19	US Maps	0.377536364	1.227692308
A195	195	Female	19	US Maps	0.357726667	1.56
A196	196	Male	20	US Maps	0.34552	1.553846154
A197	197	Female	19	US Maps	0.3799375	1.667692308
A198	198	Male	19	US Maps	0.374114286	0.829230769
A199	199	Female	18	US Maps	0.288904	2.824561404
A200	200	Female	19	US Maps	0.3708625	0.82
A201	201	Female	20	US Maps	0.293172	2.846753247
A202	202	Female	19	US Maps	0.232508	3.411764706
A204	204	Female	20	US Maps	0.36965	1.549230769
A205	205	Female	18	US Maps	0.309785714	2.1

